ID_Seller;Flujo_Caja
10093858;135390650
2308;131688352
10261165;70593000
10174718;69206363
10241158;51471430
10195345;45058709
10013483;41173360
10091497;40957936
2779;38547277
10025514;37419931
10096700;37318185
88061;36650056
6861;35617362
10130764;34126223
10161557;33573868
10117868;33109784
10096894;32498430
10031498;31546821
10208962;30476102
6346;28957191
10213012;28890778
10202578;26430627
45530;26381101
10077356;25889381
10143248;25163639
10183801;24869717
4112;24862062
10190794;24469268
10045525;24391397
10018270;24265514
10129228;24153867
10366401;23771434
10072909;23327495
10087014;22829103
10184714;22646904
10371672;22525835
10262458;22425392
10343878;22234340
10009100;21575061
715;21209171
2342;21088386
10300971;20778539
10168664;20675544
10063969;20502007
2316;20121094
10079160;20052767
3582;19966629
10360755;19518766
10140465;18982208
49902;18918147
10035564;18765396
10131682;18676450
10214990;18452419
10179459;18418595
10042752;18033645
10297902;17930530
10050705;17904707
10215768;17722074
10230740;17540396
10046351;17485224
10277786;17413766
119168;17390420
10231879;16897741
10024585;16870211
10152003;16848523
10161778;16709095
10011650;16672017
10051804;16402403
10174768;16268476
10245599;16031655
10111620;15723075
10134692;15106078
10197715;15105584
10070307;14658369
10352767;14597980
10104237;14558574
10197988;14317770
10134810;14068366
10003216;13926707
10123441;13547364
10243893;13483719
10059215;13252915
10200488;13137852
10345760;13058393
10078397;12948152
10095095;12885850
10014788;12733419
10086797;12431932
10107803;12428946
10331415;12232534
10269928;12177396
10287952;12127060
123813;12024974
10242103;11798306
10096891;11678817
10454079;11579410
10222789;11526843
10235432;11418436
10019509;11292997
10358004;10973750
10137338;10970152
10074340;10895722
10249847;10894685
10245893;10855868
10249625;10570163
10059102;10390773
10095141;10364986
10018528;10359981
10087594;10338195
10285727;10310919
10018683;10306304
10176294;10304844
10165885;10284663
80135;10174390
10068555;10137097
10095772;10100107
60563;10086580
10124044;10013626
10119320;9933990
10147457;9893627
10180881;9823578
10126244;9798235
131869;9773144
10022147;9713336
10311432;9527287
10040319;9460199
10030373;9417910
3630;9417163
10118870;9378295
103223;9378252
10192339;9363863
10134485;9211050
10050930;9153790
10013244;9073501
1006;8985649
74790;8953942
896;8888463
10027744;8848807
10160558;8843076
10101825;8840672
10249719;8839822
7291;8791178
10016565;8678641
10058211;8574039
10019278;8566126
10245586;8562174
10222557;8556481
10260154;8540732
10306865;8505284
10040895;8432692
10167914;8335613
7628;8298525
10090390;8266515
10334778;8246404
10156680;8241624
23044;8241377
131584;8200276
10174476;8194485
10180360;8154249
10094512;8138050
10292849;8124427
10333432;8103387
10345007;8075897
10066136;8062237
10142780;8034148
10288734;7971726
10239776;7872491
10324159;7831492
10296732;7823022
10035966;7812107
10039821;7806248
10125944;7792402
10178126;7781386
10090194;7760990
10095331;7716684
10151748;7705315
10097416;7681456
10215073;7650122
10201362;7639059
10018747;7604363
40786;7596995
10357864;7595504
10099344;7593420
10388322;7586778
10250598;7541956
10129296;7533024
10248176;7523410
10202182;7522509
10034806;7513413
10143922;7496058
10120803;7483992
10188033;7436216
10268169;7366427
10070441;7361177
10389068;7323294
10210642;7318695
10215134;7269785
10207443;7259522
10344004;7201396
10157703;7176603
10290990;7173212
10088630;7172335
10200870;7155329
10406302;7143268
1481;7141231
43698;7086704
142677;7045427
10090770;7035331
10334503;6988003
10268455;6977693
10413319;6967051
10016706;6908691
10281552;6887888
10353185;6845257
10147604;6781249
10129560;6724858
10140607;6712742
10128230;6632766
10248241;6626701
10005604;6625125
10251475;6619917
10305281;6619885
10035633;6605922
10093970;6570016
10218509;6563271
10098694;6516711
10187387;6510429
10013422;6506912
10028289;6495422
10158116;6475291
10293596;6470350
10153297;6445774
10250098;6439879
10355563;6437909
10304069;6407496
10173803;6400084
10019150;6392639
10365042;6370459
84736;6370173
10021837;6334743
10086022;6328434
10128788;6285138
10131061;6283103
10050292;6280790
17169;6181236
10154071;6143544
10193962;6136687
130162;6134639
10303308;6128411
10054456;6122399
10413723;6117536
10086853;6092412
10308617;6090723
10143602;6088750
10041367;6088166
10345570;6035659
10056246;6008559
10018094;5952325
10359888;5948584
10029090;5930790
10282483;5926952
10196355;5926575
10142137;5924556
10342223;5716057
10262757;5705867
10082756;5670509
10035720;5666053
10013960;5665644
10305536;5640265
10129279;5640221
10148697;5622084
10117930;5618893
10269371;5610871
10272894;5607440
10020107;5582831
10200692;5571998
109878;5534330
10248100;5499940
10142169;5441356
10127981;5435091
6720;5425104
10258093;5424978
10268372;5421810
10004768;5405571
10085747;5404801
10085722;5386322
10197109;5354442
10404423;5348379
10304396;5341173
10110488;5329763
10206468;5327182
93264;5321595
56805;5312309
10367180;5305915
10008992;5300734
10386282;5276951
10120567;5263372
10197683;5235075
10231373;5215079
47590;5191590
10358194;5183475
4376;5160284
10313781;5152800
10152056;5137159
10189886;5135725
10201572;5130849
10405943;5124137
10137346;5094411
10340417;5082012
10270114;5055988
10311067;5032692
10205879;5020996
10059658;4989075
10182392;4988235
10127167;4981767
112337;4979345
10018015;4978250
10349308;4964949
10130665;4963442
10372793;4934998
10372463;4933136
10229310;4920792
10210115;4870763
10075576;4868446
10328047;4837694
10284761;4822585
10020245;4821530
10250419;4817167
10238206;4814597
113787;4803760
10179584;4801815
10162980;4789171
10388003;4783411
10163124;4737323
71228;4706776
10272066;4706554
10190640;4698741
10162294;4681690
10169556;4678330
10380569;4675435
10091079;4675271
10259867;4668953
10065489;4660767
50452;4658371
10304002;4629083
10123758;4617971
10379288;4614910
10123856;4606480
10241895;4600076
1845;4595138
10312164;4593411
10040034;4593304
10033414;4590413
10384961;4586980
10135726;4575247
10348861;4570306
10134970;4565718
10231026;4565506
10198343;4554063
10379152;4549007
10295727;4543728
10412688;4538340
10310977;4476459
10210857;4471865
10349260;4461997
10162341;4452989
10323604;4452509
10275391;4430285
119114;4414270
3490;4414036
10284106;4386587
47952;4377866
10221499;4376491
10185212;4374952
10224441;4367672
10093508;4365798
10198020;4350714
10126645;4349415
10249857;4349165
10192445;4348818
10027450;4345110
10205832;4324976
10392982;4324157
10280624;4323028
10312835;4292500
10312751;4291908
10085838;4285317
10213308;4278318
10139185;4274449
10211388;4269404
34500;4268589
10338390;4265157
10156437;4264608
10226445;4253516
63192;4244705
10282025;4243375
10190376;4230866
10404365;4226948
10033739;4222989
10066885;4222310
10285911;4220338
14216;4215232
10420899;4208542
10274349;4207368
10007176;4198294
10027322;4197542
10299557;4174972
10205542;4152580
75076;4137384
10058815;4133628
10330798;4127641
10201773;4116986
10282631;4108389
10413662;4101825
10082052;4095454
10009074;4093624
8189;4080436
10370510;4063463
10358458;4059135
10236359;4051954
10043900;4039746
10292426;4036411
10118252;4012522
10210313;4001666
10397849;4001392
10290145;3995686
10233987;3991682
10281207;3987075
10016143;3971513
10044755;3963475
10258667;3963095
10012920;3961822
10087028;3954317
10224047;3953688
80595;3922974
10207013;3916579
10352769;3916540
10280410;3910981
10121884;3903088
10413291;3902568
10133953;3900086
10287136;3898468
10289986;3896156
10067541;3892458
10345134;3879726
10253655;3875394
10081091;3871324
10056586;3866423
10292846;3863204
10303803;3856335
10485341;3844538
10418904;3834536
10189334;3829875
10282787;3822472
10275175;3821217
10267971;3819817
10120782;3807282
10230561;3805898
10409147;3797978
10209289;3793852
62986;3790824
10327206;3790149
10257524;3787844
10241477;3766761
10303709;3764162
10201795;3763248
10304611;3723201
10134339;3714433
