ID_Seller;Flujo_Caja
10093858; 135.390.650 
2308; 131.688.352 
10261165; 70.593.000 
10174718; 69.206.363 
10241158; 51.471.430 
10195345; 45.058.709 
10013483; 41.173.360 
10091497; 40.957.936 
2779; 38.547.277 
10025514; 37.419.931 
10096700; 37.318.185 
88061; 36.650.056 
6861; 35.617.362 
10130764; 34.126.223 
10161557; 33.573.868 
10117868; 33.109.784 
10096894; 32.498.430 
10031498; 31.546.821 
10208962; 30.476.102 
6346; 28.957.191 
10213012; 28.890.778 
10202578; 26.430.627 
45530; 26.381.101 
10077356; 25.889.381 
10143248; 25.163.639 
10183801; 24.869.717 
4112; 24.862.062 
10190794; 24.469.268 
10045525; 24.391.397 
10018270; 24.265.514 
10129228; 24.153.867 
10366401; 23.771.434 
10072909; 23.327.495 
10087014; 22.829.103 
10184714; 22.646.904 
10371672; 22.525.835 
10262458; 22.425.392 
10343878; 22.234.340 
10009100; 21.575.061 
715; 21.209.171 
2342; 21.088.386 
10300971; 20.778.539 
10168664; 20.675.544 
10063969; 20.502.007 
2316; 20.121.094 
10079160; 20.052.767 
3582; 19.966.629 
10360755; 19.518.766 
10140465; 18.982.208 
49902; 18.918.147 
10035564; 18.765.396 
10131682; 18.676.450 
10214990; 18.452.419 
10179459; 18.418.595 
10042752; 18.033.645 
10297902; 17.930.530 
10050705; 17.904.707 
10215768; 17.722.074 
10230740; 17.540.396 
10046351; 17.485.224 
10277786; 17.413.766 
119168; 17.390.420 
10231879; 16.897.741 
10024585; 16.870.211 
10152003; 16.848.523 
10161778; 16.709.095 
10011650; 16.672.017 
10051804; 16.402.403 
10174768; 16.268.476 
10245599; 16.031.655 
10111620; 15.723.075 
10134692; 15.106.078 
10197715; 15.105.584 
10070307; 14.658.369 
10352767; 14.597.980 
10104237; 14.558.574 
10197988; 14.317.770 
10134810; 14.068.366 
10003216; 13.926.707 
10123441; 13.547.364 
10243893; 13.483.719 
10059215; 13.252.915 
10200488; 13.137.852 
10345760; 13.058.393 
10078397; 12.948.152 
10095095; 12.885.850 
10014788; 12.733.419 
10086797; 12.431.932 
10107803; 12.428.946 
10331415; 12.232.534 
10269928; 12.177.396 
10287952; 12.127.060 
123813; 12.024.974 
10242103; 11.798.306 
10096891; 11.678.817 
10454079; 11.579.410 
10222789; 11.526.843 
10235432; 11.418.436 
10019509; 11.292.997 
10358004; 10.973.750 
10137338; 10.970.152 
10074340; 10.895.722 
10249847; 10.894.685 
10245893; 10.855.868 
10249625; 10.570.163 
10059102; 10.390.773 
10095141; 10.364.986 
10018528; 10.359.981 
10087594; 10.338.195 
10285727; 10.310.919 
10018683; 10.306.304 
10176294; 10.304.844 
10165885; 10.284.663 
80135; 10.174.390 
10068555; 10.137.097 
10095772; 10.100.107 
60563; 10.086.580 
10124044; 10.013.626 
10119320; 9.933.990 
10147457; 9.893.627 
10180881; 9.823.578 
10126244; 9.798.235 
131869; 9.773.144 
10022147; 9.713.336 
10311432; 9.527.287 
10040319; 9.460.199 
10030373; 9.417.910 
3630; 9.417.163 
10118870; 9.378.295 
103223; 9.378.252 
10192339; 9.363.863 
10134485; 9.211.050 
10050930; 9.153.790 
10013244; 9.073.501 
1006; 8.985.649 
74790; 8.953.942 
896; 8.888.463 
10027744; 8.848.807 
10160558; 8.843.076 
10101825; 8.840.672 
10249719; 8.839.822 
7291; 8.791.178 
10016565; 8.678.641 
10058211; 8.574.039 
10019278; 8.566.126 
10245586; 8.562.174 
10222557; 8.556.481 
10260154; 8.540.732 
10306865; 8.505.284 
10040895; 8.432.692 
10167914; 8.335.613 
7628; 8.298.525 
10090390; 8.266.515 
10334778; 8.246.404 
10156680; 8.241.624 
23044; 8.241.377 
131584; 8.200.276 
10174476; 8.194.485 
10180360; 8.154.249 
10094512; 8.138.050 
10292849; 8.124.427 
10333432; 8.103.387 
10345007; 8.075.897 
10066136; 8.062.237 
10142780; 8.034.148 
10288734; 7.971.726 
10239776; 7.872.491 
10324159; 7.831.492 
10296732; 7.823.022 
10035966; 7.812.107 
10039821; 7.806.248 
10125944; 7.792.402 
10178126; 7.781.386 
10090194; 7.760.990 
10095331; 7.716.684 
10151748; 7.705.315 
10097416; 7.681.456 
10215073; 7.650.122 
10201362; 7.639.059 
10018747; 7.604.363 
40786; 7.596.995 
10357864; 7.595.504 
10099344; 7.593.420 
10388322; 7.586.778 
10250598; 7.541.956 
10129296; 7.533.024 
10248176; 7.523.410 
10202182; 7.522.509 
10034806; 7.513.413 
10143922; 7.496.058 
10120803; 7.483.992 
10188033; 7.436.216 
10268169; 7.366.427 
10070441; 7.361.177 
10389068; 7.323.294 
10210642; 7.318.695 
10215134; 7.269.785 
10207443; 7.259.522 
10344004; 7.201.396 
10157703; 7.176.603 
10290990; 7.173.212 
10088630; 7.172.335 
10200870; 7.155.329 
10406302; 7.143.268 
1481; 7.141.231 
43698; 7.086.704 
142677; 7.045.427 
10090770; 7.035.331 
10334503; 6.988.003 
10268455; 6.977.693 
10413319; 6.967.051 
10016706; 6.908.691 
10281552; 6.887.888 
10353185; 6.845.257 
10147604; 6.781.249 
10129560; 6.724.858 
10140607; 6.712.742 
10128230; 6.632.766 
10248241; 6.626.701 
10005604; 6.625.125 
10251475; 6.619.917 
10305281; 6.619.885 
10035633; 6.605.922 
10093970; 6.570.016 
10218509; 6.563.271 
10098694; 6.516.711 
10187387; 6.510.429 
10013422; 6.506.912 
10028289; 6.495.422 
10158116; 6.475.291 
10293596; 6.470.350 
10153297; 6.445.774 
10250098; 6.439.879 
10355563; 6.437.909 
10304069; 6.407.496 
10173803; 6.400.084 
10019150; 6.392.639 
10365042; 6.370.459 
84736; 6.370.173 
10021837; 6.334.743 
10086022; 6.328.434 
10128788; 6.285.138 
10131061; 6.283.103 
10050292; 6.280.790 
17169; 6.181.236 
10154071; 6.143.544 
10193962; 6.136.687 
130162; 6.134.639 
10303308; 6.128.411 
10054456; 6.122.399 
10413723; 6.117.536 
10086853; 6.092.412 
10308617; 6.090.723 
10143602; 6.088.750 
10041367; 6.088.166 
10345570; 6.035.659 
10056246; 6.008.559 
10018094; 5.952.325 
10359888; 5.948.584 
10029090; 5.930.790 
10282483; 5.926.952 
10196355; 5.926.575 
10142137; 5.924.556 
10342223; 5.716.057 
10262757; 5.705.867 
10082756; 5.670.509 
10035720; 5.666.053 
10013960; 5.665.644 
10305536; 5.640.265 
10129279; 5.640.221 
10148697; 5.622.084 
10117930; 5.618.893 
10269371; 5.610.871 
10272894; 5.607.440 
10020107; 5.582.831 
10200692; 5.571.998 
109878; 5.534.330 
10248100; 5.499.940 
10142169; 5.441.356 
10127981; 5.435.091 
6720; 5.425.104 
10258093; 5.424.978 
10268372; 5.421.810 
10004768; 5.405.571 
10085747; 5.404.801 
10085722; 5.386.322 
10197109; 5.354.442 
10404423; 5.348.379 
10304396; 5.341.173 
10110488; 5.329.763 
10206468; 5.327.182 
93264; 5.321.595 
56805; 5.312.309 
10367180; 5.305.915 
10008992; 5.300.734 
10386282; 5.276.951 
10120567; 5.263.372 
10197683; 5.235.075 
10231373; 5.215.079 
47590; 5.191.590 
10358194; 5.183.475 
4376; 5.160.284 
10313781; 5.152.800 
10152056; 5.137.159 
10189886; 5.135.725 
10201572; 5.130.849 
10405943; 5.124.137 
10137346; 5.094.411 
10340417; 5.082.012 
10270114; 5.055.988 
10311067; 5.032.692 
